page_index,tag,gt_stem,positions
8,p,ja,"[5, 12, 19, 46, 69, 76, 95, 102, 166, 226, 374, 384, 392, 399, 403, 418, 432, 445, 486, 528, 559, 597, 614, 632, 712, 726, 736, 758]"
8,p,juhlajuom,[9]
8,p,juhl,"[17, 22, 30]"
8,p,alkoholito,[50]
8,p,maku,"[85, 195, 641]"
8,p,etik,[165]
8,p,tum,[424]
8,p,punav,[586]
8,h3,testaus,[4]
8,h3,muka,[19]
8,h3,maku,[20]
8,h3,ja,"[27, 43, 50]"
8,h3,karamellisoidu,[40]
8,h3,omen,[41]
8,h3,sinihomejuusto,[44]
8,h3,broiler,[47]
8,h3,kookos,[48]
8,strong,maku,"[5, 14, 21, 28, 35, 42, 49, 56, 63]"
9,a,test,[9]
9,a,muka,[10]
9,a,maku,"[11, 23]"
9,a,juhl,[16]
9,a,joulu,[20]
9,a,juoma,[21]
9,a,maailm,"[24, 107, 109]"
9,a,leivon,[34]
9,a,ruoka,"[36, 98]"
9,a,focacia,[40]
9,a,leipä,"[44, 48, 55]"
9,a,italialain,"[45, 53]"
9,a,gluteenito,[47]
9,a,an,"[50, 88]"
9,a,focac,[51]
9,a,keitiö,[54]
9,a,peru,[57]
9,a,siika,[62]
9,a,halloum,[64]
9,a,seura,"[67, 68, 69, 101]"
9,a,ja,[72]
9,a,kaksplus,[93]
9,a,suome,[102]
9,span,leipä,[3]
9,h1,leipä,[2]
9,p,focacia,[4]
9,p,leivä,"[5, 38]"
9,p,ja,"[11, 35]"
9,p,focac,[25]
9,p,ruoka,"[48, 50]"
9,h3,focac,[3]
9,h3,muka,[6]
9,h3,maku,[7]
9,h3,ja,"[14, 30, 37]"
9,h3,karamellisoidu,[27]
9,h3,omen,[28]
9,h3,sinihomejuusto,[31]
9,h3,broiler,[34]
9,h3,kookos,[35]
10,a,test,[9]
10,a,muka,"[10, 36, 43]"
10,a,maku,"[11, 23, 37, 44]"
10,a,juhl,[16]
10,a,joulu,[20]
10,a,juoma,[21]
10,a,maailm,"[24, 113, 115]"
10,a,leivon,[34]
10,a,berber,[39]
10,a,kana,[40]
10,a,kikhern,[41]
10,a,maroko,[42]
10,a,pataruoa,[46]
10,a,tag,[47]
10,a,taj,[48]
10,a,peru,[59]
10,a,kotijäätelö,[65]
10,a,nute,[68]
10,a,ja,[78]
10,a,an,[94]
10,a,kaksplus,[99]
10,a,ruoka,[104]
10,a,seura,[107]
10,a,suome,[108]
10,span,afrik,[1]
10,span,kana,[3]
10,span,tag,[5]
10,span,ruoka,[8]
10,span,chef,[10]
10,span,muka,"[17, 24, 26, 29]"
10,span,maku,"[18, 25, 27, 30]"
10,h1,kana,[2]
10,h1,tag,[4]
10,p,ja,"[5, 14, 41, 74, 79, 125, 132, 142, 145, 150, 160, 168, 188, 211, 222, 235, 321, 348, 415, 426, 471, 490, 555, 567, 577, 593, 604, 611, 624, 643, 659, 665, 672, 678]"
10,p,keitiö,"[19, 597, 638, 642]"
10,p,joulu,[28]
10,p,marokkolain,[35]
10,p,ruoka,"[36, 64, 91, 260, 460, 487, 578, 614, 626]"
10,p,maku,"[71, 73, 234, 505, 618, 632]"
10,p,helpo,[100]
10,p,berber,"[105, 109, 193, 251, 363, 408]"
10,p,paprik,[123]
10,p,öljy,"[141, 179, 231]"
10,p,tag,"[155, 419]"
10,p,an,"[214, 223]"
10,p,kikhern,"[221, 334, 448, 452, 481]"
10,p,muka,"[240, 367, 406, 570, 617, 631]"
10,p,ranskalain,[285]
10,p,terveel,[623]
10,p,juhl,[679]
10,li,paprik,[4]
10,li,kikhern,[6]
10,li,tomaat,[16]
10,li,savustetu,[28]
10,li,paprikajauh,[29]
11,a,test,[9]
11,a,muka,"[10, 36]"
11,a,maku,"[11, 23, 37, 43]"
11,a,juhl,[16]
11,a,joulu,[20]
11,a,juoma,[21]
11,a,maailm,"[24, 99, 101]"
11,a,leivon,[34]
11,a,hern,[39]
11,a,kerm,[40]
11,a,pas,[44]
11,a,peru,[45]
11,a,kotijäätelö,[51]
11,a,nute,[54]
11,a,ja,[64]
11,a,an,[80]
11,a,kaksplus,[85]
11,a,ruoka,[90]
11,a,seura,[93]
11,a,suome,[94]
11,span,bratwurst,[1]
11,span,pas,[2]
11,span,ruoka,[4]
11,h1,pas,[1]
11,p,ja,"[12, 14, 24, 29, 47, 59, 62, 72, 82, 86, 94, 108, 110, 121, 137, 148, 155, 168, 187, 203, 209, 216, 222]"
11,p,bratwurst,[13]
11,p,pas,"[17, 41, 102, 107]"
11,p,hern,"[26, 96]"
11,p,kerm,"[30, 88]"
11,p,suolais,[43]
11,p,an,"[97, 111]"
11,p,maku,"[116, 162, 176]"
11,p,ruoka,"[122, 158, 170]"
11,p,keitiö,"[141, 182, 186]"
11,p,muka,"[161, 175]"
11,p,terveel,[167]
11,p,juhl,[223]
11,li,makkar,[2]
11,li,hern,[9]
12,a,test,[9]
12,a,muka,"[10, 36, 48]"
12,a,maku,"[11, 23, 37, 49]"
12,a,juhl,[16]
12,a,joulu,[20]
12,a,juoma,[21]
12,a,maailm,"[24, 104, 106]"
12,a,leivon,[34]
12,a,broiler,"[38, 39]"
12,a,paistisuikal,[40]
12,a,tik,[42]
12,a,masal,[43]
12,a,intialain,[44]
12,a,ruoka,"[45, 95]"
12,a,kana,[46]
12,a,peru,[50]
12,a,kotijäätelö,[56]
12,a,nute,[59]
12,a,ja,[69]
12,a,an,[85]
12,a,kaksplus,[90]
12,a,seura,[98]
12,a,suome,[99]
12,span,chick,[1]
12,span,tik,[2]
12,span,masal,"[3, 26]"
12,span,läm,[7]
12,span,ja,"[17, 30, 37, 46, 53, 60, 69, 74]"
12,span,garam,[25]
12,span,broiler,[35]
12,span,paistisuikal,[36]
12,span,maust,[47]
12,span,jogurt,[71]
12,span,an,[75]
12,span,ruoka,[79]
12,h1,chick,[0]
12,h1,tik,[1]
12,h1,masal,[2]
12,p,broiler,[7]
12,p,maku,"[22, 56, 115, 129]"
12,p,chick,[30]
12,p,tik,"[31, 59, 61]"
12,p,masal,"[32, 62]"
12,p,paistisuikal,[34]
12,p,ja,"[46, 74, 90, 101, 108, 121, 140, 156, 162, 169, 175]"
12,p,ruoka,"[75, 111, 123]"
12,p,keitiö,"[94, 135, 139]"
12,p,muka,"[114, 128]"
12,p,terveel,[120]
12,p,juhl,[176]
12,li,broiler,[1]
12,li,paistisuikal,[2]
12,li,jogurt,[9]
12,li,garam,[17]
12,li,masal,[18]
13,a,test,[9]
13,a,muka,"[10, 36, 41]"
13,a,maku,"[11, 23, 37, 42]"
13,a,juhl,[16]
13,a,joulu,[20]
13,a,juoma,[21]
13,a,maailm,"[24, 108, 110]"
13,a,leivon,[34]
13,a,espanj,[38]
13,a,jauhelih,[39]
13,a,jauhelihapihv,[40]
13,a,paprikajauh,[44]
13,a,paprikatah,[45]
13,a,chorizo,[47]
13,a,peru,[54]
13,a,kotijäätelö,[60]
13,a,nute,[63]
13,a,ja,[73]
13,a,an,[89]
13,a,kaksplus,[94]
13,a,ruoka,[99]
13,a,seura,[102]
13,a,suome,[103]
13,span,chorizo,[1]
13,span,jauhelihapihv,[2]
13,span,ruoka,[4]
13,span,muka,"[7, 12, 20]"
13,span,maku,"[8, 13]"
13,h1,chorizo,[0]
13,h1,jauhelihapihv,[1]
13,p,chorizo,"[0, 31, 51]"
13,p,makkar,[1]
13,p,ja,"[6, 46, 93, 99, 101, 112, 138, 153, 222, 238, 249, 256, 269, 288, 304, 310, 317, 323]"
13,p,paprikajauh,[15]
13,p,maust,"[21, 94]"
13,p,helpo,[38]
13,p,jauhelih,"[85, 88, 90]"
13,p,an,"[102, 139]"
13,p,maku,"[113, 210, 263, 277]"
13,p,tum,"[149, 156]"
13,p,ruoka,"[186, 223, 259, 271]"
13,p,keitiö,"[242, 283, 287]"
13,p,muka,"[262, 276]"
13,p,terveel,[268]
13,p,juhl,[324]
13,u,chorizo,[0]
13,u,ja,[7]
13,li,chorizo,[0]
13,li,jauhelihapihv,[1]
13,li,jauhelih,[3]
13,li,savustetu,[8]
13,li,paprikajauh,[9]
13,li,muka,[23]
14,a,test,[9]
14,a,muka,"[10, 36, 40]"
14,a,maku,"[11, 23, 37, 41]"
14,a,juhl,[16]
14,a,joulu,[20]
14,a,juoma,[21]
14,a,maailm,"[24, 99, 101]"
14,a,leivon,[34]
14,a,chorizo,[38]
14,a,makkar,[39]
14,a,paprikajauh,[42]
14,a,pas,[43]
14,a,tomaat,[44]
14,a,peru,[45]
14,a,kotijäätelö,[51]
14,a,nute,[54]
14,a,ja,[64]
14,a,an,[80]
14,a,kaksplus,[85]
14,a,ruoka,[90]
14,a,seura,[93]
14,a,suome,[94]
14,span,chorizo,[1]
14,span,pas,[2]
14,span,ruoka,[4]
14,h1,chorizo,[0]
14,h1,pas,[1]
14,p,chorizo,"[1, 6, 26, 48, 62]"
14,p,pas,"[2, 41, 98]"
14,p,makkar,"[7, 27]"
14,p,maku,"[10, 153, 167]"
14,p,muka,"[23, 152, 166]"
14,p,ja,"[45, 57, 64, 73, 85, 94, 104, 112, 128, 139, 146, 159, 178, 194, 200, 207, 213]"
14,p,puna,[71]
14,p,tum,[79]
14,p,an,[105]
14,p,ruoka,"[113, 149, 161]"
14,p,keitiö,"[132, 173, 177]"
14,p,terveel,[158]
14,p,juhl,[214]
14,li,chorizo,[1]
14,li,makkar,[2]
15,a,test,[9]
15,a,muka,"[10, 36, 40]"
15,a,maku,"[11, 23, 37, 41]"
15,a,juhl,[16]
15,a,joulu,[20]
15,a,juoma,[21]
15,a,maailm,"[24, 99, 101]"
15,a,leivon,[34]
15,a,chorizo,[38]
15,a,espanj,[39]
15,a,palapai,[42]
15,a,peru,[45]
15,a,kotijäätelö,[51]
15,a,nute,[54]
15,a,ja,[64]
15,a,an,[80]
15,a,kaksplus,[85]
15,a,ruoka,[90]
15,a,seura,[93]
15,a,suome,[94]
15,span,palapai,[3]
15,span,chorizo,[4]
15,span,ruoka,[6]
15,h1,palapai,[2]
15,h1,chorizo,[3]
15,p,ruoka,"[5, 203, 239, 251]"
15,p,pael,[9]
15,p,espanj,[18]
15,p,ja,"[26, 31, 70, 80, 97, 148, 155, 162, 169, 177, 186, 202, 218, 229, 236, 249, 268, 284, 290, 297, 303]"
15,p,chorizo,"[35, 73, 87]"
15,p,makkar,"[36, 74]"
15,p,keitiö,"[40, 222, 263, 267]"
15,p,paprik,"[149, 156]"
15,p,paprikajauh,[174]
15,p,muka,"[242, 256]"
15,p,maku,"[243, 257]"
15,p,terveel,[248]
15,p,juhl,[304]
15,li,chorizo,[1]
15,li,makkar,[2]
15,li,katkarapu,[7]
15,li,puna,[8]
15,li,paprik,[9]
15,li,savustetu,[20]
15,li,paprikajauh,[21]
16,a,test,[9]
16,a,muka,"[10, 36, 47]"
16,a,maku,"[11, 23, 37, 48]"
16,a,juhl,[16]
16,a,joulu,[20]
16,a,juoma,[21]
16,a,maailm,"[24, 114, 116]"
16,a,leivon,[34]
16,a,yogurt,[40]
16,a,glukoosisiirap,[41]
16,a,jäätelö,[42]
16,a,jäätelökon,[43]
16,a,jogurt,[44]
16,a,jogurttijäätelö,[45]
16,a,kotijäätelö,"[46, 66]"
16,a,peru,[60]
16,a,nute,[69]
16,a,ja,[79]
16,a,an,[95]
16,a,kaksplus,[100]
16,a,ruoka,[105]
16,a,seura,[108]
16,a,suome,[109]
16,span,jogurttijäätelö,[1]
16,span,ruoka,[5]
16,span,keitiö,[10]
16,span,muka,"[11, 17, 22]"
16,span,maku,"[12, 18, 23]"
16,h1,jogurttijäätelö,[0]
16,p,jogurttijäätelö,"[0, 30, 62, 151, 225, 235]"
16,p,ja,"[13, 43, 57, 71, 103, 114, 158, 185, 231, 239, 252, 277, 282, 317, 328, 343, 359, 375, 386, 393, 406, 425, 441, 447, 454, 460]"
16,p,jogurt,"[34, 79]"
16,p,helpo,[66]
16,p,maku,"[91, 210, 400, 414]"
16,p,jäätelö,[94]
16,p,jäätelökon,"[116, 154, 244]"
16,p,an,[159]
16,p,vanilj,[230]
16,p,yogurt,[250]
16,p,ruoka,"[360, 396, 408]"
16,p,keitiö,"[379, 420, 424]"
16,p,muka,"[399, 413]"
16,p,terveel,[405]
16,p,juhl,[461]
16,li,jogurt,[1]
17,a,test,[9]
17,a,muka,"[10, 36, 44]"
17,a,maku,"[11, 23, 37, 45]"
17,a,juhl,[16]
17,a,joulu,[20]
17,a,juoma,[21]
17,a,maailm,"[24, 100, 102]"
17,a,leivon,[34]
17,a,broiler,"[38, 39]"
17,a,grilliruoa,[41]
17,a,peru,[46]
17,a,kotijäätelö,[52]
17,a,nute,[55]
17,a,ja,[65]
17,a,an,[81]
17,a,kaksplus,[86]
17,a,ruoka,[91]
17,a,seura,[94]
17,a,suome,[95]
17,span,grillatu,[1]
17,span,ruoka,[5]
17,h1,grillatu,[0]
17,p,intialais,[13]
17,p,maku,"[14, 123, 137]"
17,p,ja,"[18, 27, 42, 82, 98, 109, 116, 129, 148, 164, 170, 177, 183]"
17,p,an,[28]
17,p,marinoitu,[30]
17,p,kerm,[73]
17,p,ruoka,"[83, 119, 131]"
17,p,keitiö,"[102, 143, 147]"
17,p,muka,"[122, 136]"
17,p,terveel,[128]
17,p,juhl,[184]
17,li,broiler,[0]
17,li,kerm,[17]
18,a,test,[9]
18,a,muka,"[10, 36, 43]"
18,a,maku,"[11, 23, 37, 44]"
18,a,juhl,[16]
18,a,joulu,[20]
18,a,juoma,[21]
18,a,maailm,"[24, 99, 101]"
18,a,leivon,[34]
18,a,broiler,[38]
18,a,helpo,[39]
18,a,kaali,[40]
18,a,kaalikeito,[41]
18,a,keito,[42]
18,a,peru,[45]
18,a,kotijäätelö,[51]
18,a,nute,[54]
18,a,ja,[64]
18,a,an,[80]
18,a,kaksplus,[85]
18,a,ruoka,[90]
18,a,seura,[93]
18,a,suome,[94]
18,span,helpo,[1]
18,span,broiler,[2]
18,span,kaalikeito,[3]
18,span,ruoka,[5]
18,h1,helpo,[0]
18,h1,broiler,[1]
18,h1,kaalikeito,[2]
